nombre,matematicas,lengua,historia
Elisa,9,2,6
Baldomero,3,3,5
Marcio,0,9,0
Noé,7,5,0
Yésica,0,2,5
Tito,9,10,10
Alejandra,0,2,3
Ildefonso,10,0,5
Georgina,0,1,8
Áurea,10,0,0
Sebastian,5,3,5
Conrado,10,5,5
Manu,4,8,2
Adolfo,3,10,1
Gervasio,9,4,4
Aurelio,9,2,2
Azahar,5,3,2
Ricardo,7,4,5
Remigio,9,3,10
Melchor,2,7,0
Jonatan,4,4,7
Jonatan,1,0,4
Sabas,2,0,9
Regina,0,7,5
Zoraida,0,9,6
Malena,10,7,6
Fanny,0,3,0
Elba,9,1,6
Odalys,2,0,4
Lucho,10,2,10
Isaura,8,9,7
Iker,3,5,5
Saturnino,8,0,7
Isaac,5,9,4
Macario,9,2,0
Dorita,7,0,4
María Fernanda,4,5,4
Lorena,0,6,0
Estrella,4,1,10
Concepción,10,7,1
Tatiana,6,1,9
Armando,7,9,2
Trinidad,2,9,9
Valentina,0,3,3
Luis Miguel,9,3,6
Albino,0,0,5
Juan Manuel,2,7,0
Elodia,10,9,5
Octavio,9,4,3
Esmeralda,7,9,1
Pilar,1,5,6
Jaime,9,2,2
Valentín,8,7,0
Magdalena,2,4,3
Pilar,8,1,0
Albino,5,3,10
Cristóbal,6,10,3
Cristian,10,1,5
Elías,10,9,7
Estrella,3,2,4
Segismundo,5,3,10
Maricela,7,5,0
Lino,2,3,8
Victoriano,1,0,9
Santiago,1,6,0
Mario,2,9,0
Telmo,9,4,7
Nacho,1,1,0
Luisa,3,10,3
Nayara,3,9,0
Isabel,9,6,4
Úrsula,7,6,3
Inmaculada,7,8,1
Miguel Ángel,5,2,10
Gaspar,5,2,9
Florencio,9,1,1
Marino,8,5,2
Eugenia,0,7,6
Jaime,6,0,2
María Dolores,9,7,7
Caridad,9,3,3
Porfirio,5,2,8
Buenaventura,5,9,10
Georgina,6,6,2
Paula,3,3,10
Sarita,1,6,9
Pacífica,10,4,0
Cristian,4,4,0
Paola,1,1,8
Lucio,4,9,7
Jose,5,4,0
Teodosio,7,4,5
Anunciación,10,3,9
Mohamed,3,0,1
Bernardo,5,7,10
Bárbara,1,5,6
Cebrián,2,7,8
Adela,6,9,4
Tristán,3,0,4
Eustaquio,7,0,8
